"How many hours of programming are you doing per week on average",,,"What programming languages do you use?",,,"What Version Control System do you primarily use?","If your primary work involves programming, then the company that you work at","What IDE or editor do you primarily use for programming?","If you use more than one IDE, what other IDE/editors do you commonly use?",,,"Name other IDE/editors that you have used before",,,"What features do you value the most in your primary editor?","What kind of programming language integration do you value the most in your primary editor?","What features would you like to have in your editor that it doesn't have?","How customized is your editor?","What are the primary reasons that you use editors/IDEs other than your primary?","How do you primarily use your Version Control System?","What are the reasons you are not switching to a different IDE/editor?","If your primary editor/IDE suddenly disappears, what editor/IDE would you use instead?","Have you ever used commercial IDE or editor?","Would you consider using a commercial IDE or editor?","What kind of programming language integration do you value the most in your primary editor?","What kind of programming language integrations would you like to have or have improved in your editor?","If you would be willing to buy a commercial IDE or editor yourself, how much would you be willing to pay for it?"
15,0,3,"matlab","latex","c","git","I am a researcher","emacs",,,,"visual studio","IAR embedded workbench",,"It supports many programming languages, It can be used in terminal, It is very configurable","Syntax highlighting, Debugging, Documentation for language or libraries inside the editor","Advanced language intergration (eg auto-completion, refactoring, building), Faster start up and overall performance","There is some configuration and couple of third-party plugins","It supports the build tools or building proccess that I use better, It's faster to use for small editing","Directly through terminal","I don't feel like switching at all","vim","Yes, my employer bought it","Yes, if my employer buys it for me",,"Auto-completion, Code generation",50
40,2,2,"ruby","bash","javascript","mercurial","Is primarily doing programming ","VIM",,,,,,,"It supports many programming languages, Powerful editing functionality, There are lots of plugins available","Syntax highlighting, Auto-completion, Code formatting","Advanced language intergration (eg auto-completion, refactoring, building), Tools to navigate the code (go to definition, find uses), Integration with version control system","It is extensively configured and I have lots of third-party plugins",,"Directly through terminal","I don't feel like switching at all","VI","No, but I tried trial versions","No",,"Refactoring, Test integration, Interactive console/REPL",5
30,10,10,"PHP","JavaScript","Clojure","Git","Is primarily doing programming ","Sublime Text","Vim",,,"Visual Studio","Eclipse","Emacs","Powerful editing functionality, It provides good tools for navigating the code (eg. go to definition, find uses), It can be used in terminal","Syntax highlighting, Code formatting, Documentation for language or libraries inside the editor","Advanced language intergration (eg auto-completion, refactoring, building), Ability to use it in terminal, Integration to build tool(s) that I use","It is extensively configured and I have lots of third-party plugins","It can be used from terminal","Directly through terminal","Other editors lack some features that my editor have, My workflow is too integrated into my current editor, Too much effort configuring new editors","Vim","Yes, my employer bought it","Yes, I would buy it myself",,"Refactoring, Debugging, Interactive console/REPL",100
10,0,10,"Ruby","Objective-c",,"Git","Sometimes supports other activities with programming or IT","Vim","Xcode",,,"Eclipse",,,"Powerful editing functionality, There are lots of plugins available, It starts up and works very fast","Syntax highlighting, Auto-completion","Advanced language intergration (eg auto-completion, refactoring, building)","There is some configuration and couple of third-party plugins","It supports some of the languages I use better than my primary editor, It supports the build tools or building proccess that I use better","Directly through terminal","Other editors lack some features that my editor have","Textmate","No, never","Yes, if my employer buys it for me",,"Auto-completion, Code formatting, Refactoring",100
25,5,5,"C++","Java","Python","git","Sometimes supports other activities with programming or IT","Emacs","Intellij",,,"Visual Studio","Vim","Netbeans","It supports many programming languages, Powerful editing functionality, It is very configurable","Auto-completion, Code formatting, Debugging","Advanced language intergration (eg auto-completion, refactoring, building), Tools to navigate the code (go to definition, find uses), Faster start up and overall performance","It is extensively configured and I have lots of third-party plugins","It supports some of the languages I use better than my primary editor","Directly through terminal","Other editors lack some features that my editor have, My workflow is too integrated into my current editor","vim","Yes, my employer bought it","No",,"Auto-completion, Refactoring, Debugging",
40,0,10,"C","PHP","JavaScript","git","Is primarily doing programming ","vim",,,,"Eclipse","Notepad",,"Powerful editing functionality, It can be used in terminal, It intergrates with version control system","Syntax highlighting, Auto-completion","Integration with version control system","There is some configuration and couple of third-party plugins",,"Directly through terminal","I don't feel like switching at all, Other editors lack some features that my editor have, My workflow is too integrated into my current editor","vi","No, never","No",,"Documentation for language or libraries inside the editor",
20,0,20,"C#","Haskell",,"Git","Does programming as part of it's core activities ","Visual Studio","Emacs",,,"Vim",,,"It has advanced language integration (eg auto-completion, refactoring, building), Powerful editing functionality, It provides good tools for navigating the code (eg. go to definition, find uses)","Syntax highlighting, Auto-completion, Code formatting","Powerful editing functionality, Faster start up and overall performance","There is some configuration and couple of third-party plugins","It supports some of the languages I use better than my primary editor, It's faster to use for small editing","Directly through terminal","I don't feel like switching at all","I have no idea","Yes, I have personally bought it","Yes, I would buy it myself",,"Auto-completion, Refactoring, Debugging",500
0,10,5,"Java","PHP",,"Git","I am a student or unemployed","Vim","Eclipse","Sublime Text",,"Emacs",,,"It supports many programming languages, Powerful editing functionality, There are lots of plugins available","Syntax highlighting, Auto-completion, Code formatting","Advanced language intergration (eg auto-completion, refactoring, building), Better default configuration","There is some configuration and couple of third-party plugins","It supports some of the languages I use better than my primary editor, It's faster to use for small editing","Directly through terminal","I don't feel like switching at all, Other editors lack some features that my editor have","Emacs","No, but I tried trial versions","Yes, if my employer buys it for me",,"Syntax highlighting, Auto-completion, Interactive console/REPL",
40,0,10,"C","Lua","Go","Git","Sometimes supports other activities with programming or IT","Vim",,,,,,,"It supports many programming languages, Powerful editing functionality, It can be used in terminal","Syntax highlighting, Code formatting, Interactive console/REPL","Tools to navigate the code (go to definition, find uses), Integration to build tool(s) that I use, Better default configuration","There is some configuration and couple of third-party plugins",,"Directly through terminal","I don't feel like switching at all, Other editors lack some features that my editor have, My workflow is too integrated into my current editor","Emacs","No, never","No",,"Auto-completion, Interactive console/REPL, Documentation for language or libraries inside the editor",
30,0,15,"java","groovy","clojure","git","Does programming as part of it's core activities ","vim",,,,"eclipse",,,"It supports many programming languages, Powerful editing functionality, It is very configurable","Interactive console/REPL","asyncronous operations","It is extensively configured and I have lots of third-party plugins",,"Directly through terminal","Other editors lack some features that my editor have","emacs","No, never","No",,"Debugging",
0,30,10,"C++","Javascript","Objective-C","Git","I am a student or unemployed","Sublime Text","XCode",,,"IDEA","Eclipse","vim","It supports many programming languages, There are lots of plugins available, It starts up and works very fast","Syntax highlighting, Auto-completion, Refactoring","None","There is some configuration and couple of third-party plugins","It supports some of the languages I use better than my primary editor, Apple dictates","Directly through terminal","I don't feel like switching at all, Too much effort configuring new editors","vim","Yes, my employer bought it","No",,"Auto-completion, Code generation",50
38,0,4,"Perl","JavaScript","Shell","git","Does programming as part of it's core activities ","Kate","mcedit","vim","Emacs","Padre","Turbo Pascal IDE","Qbasic IDE","It supports many programming languages, It starts up and works very fast, KIO slaves","Syntax highlighting, Auto-completion, code navigation","Rich plugins ecosystem, Integration to build tool(s) that I use, Configurability","It is extensively configured and I have lots of third-party plugins","It can be used from terminal","Directly through terminal","Other editors lack some features that my editor have, Too much effort configuring new editors, other IDE not extensible through Perl","Padre, or perhaps write my own","No, but I tried trial versions","Yes, I would buy it myself",,"Debugging, Test integration, Documentation for language or libraries inside the editor",100
1,30,3,"html5","javascript","ruby","git","My primary job is something else than programming","sublimetext2","notepad++",,,"vim",,,"Powerful editing functionality, There are lots of plugins available, crossplateform","Syntax highlighting, Code formatting, Debugging","Ability to use it in terminal, Better default configuration","There is some configuration and couple of third-party plugins","available on office","Directly through terminal","I don't feel like switching at all, Other editors lack some features that my editor have","notepad++","Yes, my employer bought it","Yes, if my employer buys it for me",,"Auto-completion, Debugging",25
40,3,1,"Javascript","Ruby","Python","git","Is primarily doing programming ","Sublime","RubyMine","Eclipse",,"PyCharm",,,"It has advanced language integration (eg auto-completion, refactoring, building), It provides good tools for navigating the code (eg. go to definition, find uses), There are lots of plugins available","Syntax highlighting, Auto-completion, Test integration","Faster start up and overall performance, Integration to build tool(s) that I use, Better default configuration","There is some configuration and couple of third-party plugins","It supports some of the languages I use better than my primary editor","From some other application","Other editors don't support my languages of choice very well, My workflow is too integrated into my current editor, Too much effort learning new editors","Eclipse","Yes, I have personally bought it","Yes, if my employer buys it for me",,"Refactoring, Code generation, Build tool(s) integration",50
40,0,10,"c++","c","java","svn","Is primarily doing programming ","Visual Studio","IDEA","Notepad++",,"Eclipse","Code::Blocks",,"It has advanced language integration (eg auto-completion, refactoring, building), Powerful editing functionality, It starts up and works very fast","Syntax highlighting, Auto-completion, Debugging","Faster start up and overall performance","There is some configuration and couple of third-party plugins","DIfferent OS at home","From the primary editor","My workflow is too integrated into my current editor","don't know","Yes, my employer bought it","Yes, if my employer buys it for me",,"Refactoring",50
30,0,10,"Java","Haskell","Prolog","hg","Does programming as part of it's core activities ","Netbeans","Emacs",,,"Textmate","Coda",,"It has advanced language integration (eg auto-completion, refactoring, building), It provides good tools for navigating the code (eg. go to definition, find uses), It doesn't need to be configured much to be usable","Syntax highlighting, Auto-completion, Code formatting","Faster start up and overall performance","It's almost the same from the stock configuration","It supports some of the languages I use better than my primary editor, It can be used from terminal, It's faster to use for small editing, I use it for editing code on remote servers","Directly through terminal","I don't feel like switching at all, Too much effort configuring new editors","IDEA","No, but I tried trial versions","Yes, if my employer buys it for me",,"Nothing",100
40,10,10,"Scala","Javascript","Java","Git","Is primarily doing programming ","Sublime Text 2",,,,"Emacs","Nano","Eclipse","It has advanced language integration (eg auto-completion, refactoring, building), It starts up and works very fast, It intergrates to build tool(s) that I use","Syntax highlighting, Auto-completion, Interactive console/REPL","Tools to navigate the code (go to definition, find uses), Integration with version control system, Integration to build tool(s) that I use","It's almost the same from the stock configuration","It supports the build tools or building proccess that I use better, It's faster to use for small editing, I use it for editing code on remote servers","Directly through terminal","I don't feel like switching at all","Emacs","Yes, my employer bought it","Yes, if my employer buys it for me",,"Auto-completion, Code generation, Test integration",25
20,0,0,"python","c++","matlab","svn","I am a researcher","vim",,,,"embedded ides: Matlab, Texmaker",,,"Powerful editing functionality, It starts up and works very fast, It can be used in terminal","Syntax highlighting, Build tool(s) integration","Advanced language intergration (eg auto-completion, refactoring, building)","There is some configuration and couple of third-party plugins","I'm on other peoples' computers","Directly through terminal","I don't feel like switching at all, Other editors lack some features that my editor have","oh dear god, why would you do that?","Yes, my employer bought it","No",,"Code formatting",5
30,0,5,"Java","Javascript","Actionscript","SVN","Does programming as part of it's core activities ","MyEclipse for Spring","Flash Builder","NotePad++","Emacs","Eclipse",,,"It has advanced language integration (eg auto-completion, refactoring, building), There are lots of plugins available, It intergrates with version control system","Syntax highlighting, Auto-completion, Code formatting","Faster start up and overall performance, Ability to use it in terminal","There is some configuration and couple of third-party plugins","It supports some of the languages I use better than my primary editor, It can be used from terminal, It's faster to use for small editing, I use it for editing code on remote servers","From the primary editor","My workflow is too integrated into my current editor, Too much effort learning new editors, Too much effort configuring new editors","IntelliJ","Yes, my employer bought it","Yes, I would buy it myself",,"Code formatting, Refactoring, Code generation",50
60,0,0,"python","sql","shell","mercurial","Does programming as part of it's core activities ","vim",,,,,,,"Powerful editing functionality, It starts up and works very fast, It can be used in terminal","Syntax highlighting, Auto-completion, Code formatting","Advanced language intergration (eg auto-completion, refactoring, building)","It is extensively configured and I have lots of third-party plugins",,"Directly through terminal","Other editors lack some features that my editor have, Too much effort learning new editors, Too much effort configuring new editors","ed","Yes, my employer bought it","No",,"Syntax highlighting, Auto-completion, Code formatting",25
30,10,15,"Java","Python","Bash","SVN","Does programming as part of it's core activities ","IDEA","Emacs","Vim","Sublime Text","PyCharm","AppCode","Eclipse","It has advanced language integration (eg auto-completion, refactoring, building), It provides good tools for navigating the code (eg. go to definition, find uses), It starts up and works very fast","Syntax highlighting, Auto-completion, Interactive console/REPL","Faster start up and overall performance, Ability to use it in terminal, Easier plugin development","There is some configuration and couple of third-party plugins","It supports some of the languages I use better than my primary editor, It can be used from terminal, It's faster to use for small editing","From the primary editor","Other editors don't support my languages of choice very well","Eclipse","Yes, I have personally bought it","Yes, I would buy it myself",,"Code formatting, Interactive console/REPL, Documentation for language or libraries inside the editor",100
40,0,20,"Java","Objective-C","JavaScript","git","Is primarily doing programming ","Eclipse","WebStorm","XCode",,"Sublime Text","vi",,"It has advanced language integration (eg auto-completion, refactoring, building), It provides good tools for navigating the code (eg. go to definition, find uses), It doesn't need to be configured much to be usable","Syntax highlighting, Refactoring, Debugging","Support for many programming languages","There is some configuration and couple of third-party plugins","It supports some of the languages I use better than my primary editor","Directly through terminal","Other editors don't support my languages of choice very well, Other editors lack some features that my editor have, My workflow is too integrated into my current editor","IDEA","Yes, I have personally bought it","Yes, I would buy it myself",,"none",50
80,2,2,"Python","C++","Assembly","None","Is primarily doing programming ","PyCharm","Visual Studio","Intelli J IDEA","Eclipse",,,,"It has advanced language integration (eg auto-completion, refactoring, building), It provides good tools for navigating the code (eg. go to definition, find uses), It starts up and works very fast","Syntax highlighting, Auto-completion, Code formatting","Rich plugins ecosystem","There is some configuration and couple of third-party plugins","It supports some of the languages I use better than my primary editor","Other","Other editors don't support my languages of choice very well","Canopy","Yes, I have personally bought it","Yes, I would buy it myself",,"Code formatting, Refactoring, Code generation",50
30,5,2,"Java","Scala","JavaScript","Git","Is primarily doing programming ","Eclipse","Notepad++","Vim",,"KDevelop",,,"It has advanced language integration (eg auto-completion, refactoring, building), It provides good tools for navigating the code (eg. go to definition, find uses), It starts up and works very fast","Auto-completion, Code formatting, Debugging","Support for many programming languages, Faster start up and overall performance, Integration to build tool(s) that I use","There is some configuration and couple of third-party plugins","It's faster to use for small editing","From some other application","Other editors lack some features that my editor have, My workflow is too integrated into my current editor","JDeveloper","No, but I tried trial versions","Yes, if my employer buys it for me",,"Code generation, Build tool(s) integration",100
20,5,5,"Java","c++","c#","hg","I am a student or unemployed","Netbeans","IDEA","emacs","Visual Studio","eclipse","vim","jdeveloper","It has advanced language integration (eg auto-completion, refactoring, building), It supports many programming languages, Powerful editing functionality","Syntax highlighting, Auto-completion, Debugging","Support for many programming languages","It's almost the same from the stock configuration","It supports some of the languages I use better than my primary editor, It can be used from terminal, It's faster to use for small editing","From the primary editor","I don't feel like switching at all, Other editors don't support my languages of choice very well, My workflow is too integrated into my current editor","emacs","No, but I tried trial versions","Yes, if my employer buys it for me",,"Refactoring, Test integration",100
30,0,10,"Perl","NodeJS","C","git","Does programming as part of it's core activities ","vim",,,,"Eclipse",,,"It supports many programming languages, There are lots of plugins available, It starts up and works very fast","Syntax highlighting, Code formatting, Debugging","NA","It is extensively configured and I have lots of third-party plugins",,"Directly through terminal","I don't feel like switching at all","SublimeText","No, never","No",,"Auto-completion, Refactoring",
15,5,3,"Java","C++","Php","Git","Does programming as part of it's core activities ","VIM","Sublime","Eclipse",,"IDEA",,,"Powerful editing functionality, There are lots of plugins available, It can be used in terminal","Syntax highlighting, Auto-completion, Code formatting","Better default configuration","It is extensively configured and I have lots of third-party plugins","It supports some of the languages I use better than my primary editor","Directly through terminal","I don't feel like switching at all","Sublime","No, but I tried trial versions","Yes, if my employer buys it for me",,"Debugging",25
10,10,10,"perl","python","prolog","git","Does programming as part of it's core activities ","vim",,,,"Padre","Eclipse","Visual Studio","It has advanced language integration (eg auto-completion, refactoring, building), Powerful editing functionality, It can be used in terminal","Syntax highlighting, Code generation, Interactive console/REPL","Nothing","It is extensively configured and I have lots of third-party plugins",,"Directly through terminal","Other editors lack some features that my editor have","emacs","No, but I tried trial versions","Yes, if my employer buys it for me",,"Nothing",
60,0,0,"Python","SQL","Java","git","Does programming as part of it's core activities ","SublimeText","emacs",,,"vi","eclipse","netbeans","It supports many programming languages, Powerful editing functionality, It provides good tools for navigating the code (eg. go to definition, find uses)","Syntax highlighting","Easier plugin development","It is extensively configured and I have lots of third-party plugins","non-build features like ediff and dired","Directly through terminal","Too much effort configuring new editors","emacs","Yes, I have personally bought it","Yes, I would buy it myself",,"Auto-completion, Code formatting",100
30,10,10,"PHP","C++","Python","git","Is primarily doing programming ","Sublime Text 3 Beta","Text Mate",,,"Geany","Eclipse",,"There are lots of plugins available, It starts up and works very fast, It is very configurable","Syntax highlighting, Auto-completion","Better working build tools","It is extensively configured and I have lots of third-party plugins","It's faster to use for small editing","Directly through terminal","I don't feel like switching at all, Other editors lack some features that my editor have, Too much effort configuring new editors","Text Mate","Yes, my employer bought it","Yes, if my employer buys it for me",,"Debugging",50
30,10,2,"java","python",,"svn","Does programming as part of it's core activities ","IDEA","Eclipse","Netbeans","vim","JEdit","Kdevelop",,"It has advanced language integration (eg auto-completion, refactoring, building), Powerful editing functionality, It provides good tools for navigating the code (eg. go to definition, find uses)","Refactoring, Debugging, Build tool(s) integration","Faster start up and overall performance, Ability to use it in terminal","It's almost the same from the stock configuration","working on peer reviews","From the primary editor","Other editors lack some features that my editor have, I tried many before selecting this one","NetBeans","No, but I tried trial versions","Yes, I would buy it myself",,"Debugging, Interactive console/REPL",100
35,0,10,"Ruby","JavaScript","HTML","Git","Does programming as part of it's core activities ","Sublime Text","Vim","RubyMine",,"TextMate",,,"Powerful editing functionality, It provides good tools for navigating the code (eg. go to definition, find uses), There are lots of plugins available","Syntax highlighting, Auto-completion, Code formatting","Advanced language intergration (eg auto-completion, refactoring, building), Tools to navigate the code (go to definition, find uses)","It is extensively configured and I have lots of third-party plugins","It supports some of the languages I use better than my primary editor, RubyMine has an incredible integrated debugger","From some other application","My current editor (ST2) has much better text editing features than RubyMine","Vim","Yes, I have personally bought it","Yes, I would buy it myself",,"Refactoring, Debugging",50
35,35,0,"Python","Julia","Java","Git","I am a student or unemployed","Emacs","Eclipse",,,"Vim","visual studio",,"It has advanced language integration (eg auto-completion, refactoring, building), Powerful editing functionality, It provides good tools for navigating the code (eg. go to definition, find uses)","Syntax highlighting, Interactive console/REPL, Documentation for language or libraries inside the editor","Tools to navigate the code (go to definition, find uses), Faster start up and overall performance, Ability to use it in terminal","There is some configuration and couple of third-party plugins","It supports some of the languages I use better than my primary editor, It supports the build tools or building proccess that I use better","Directly through terminal","Other editors lack some features that my editor have","vim","Yes, my employer bought it","Yes, if my employer buys it for me",,"Code formatting, Interactive console/REPL, Documentation for language or libraries inside the editor",50
40,0,1,"Ruby","Clojure",,"Git","Is primarily doing programming ","vim",,,,"gedit","notepad ++","eclipse","Powerful editing functionality, It starts up and works very fast, It can be used in terminal","Syntax highlighting","Advanced language intergration (eg auto-completion, refactoring, building)","It is extensively configured and I have lots of third-party plugins","my editor isn't available","Directly through terminal","Other editors lack some features that my editor have, My workflow is too integrated into my current editor, Too much effort learning new editors","emacs","Yes, my employer bought it","No",,"Auto-completion",25
60,0,0,"Ruby","Objective-C","Java","Git","Does programming as part of it's core activities ","RubyMine","Xcode","IDEA","Sublime","Eclipse","Visual Studio","C++ Builder","It has advanced language integration (eg auto-completion, refactoring, building), It provides good tools for navigating the code (eg. go to definition, find uses), It starts up and works very fast","Auto-completion, Refactoring, Code generation","Faster start up and overall performance","There is some configuration and couple of third-party plugins","It supports some of the languages I use better than my primary editor, It's faster to use for small editing","Directly through terminal","I don't feel like switching at all, Other editors don't support my languages of choice very well, Other editors lack some features that my editor have","IDEA","Yes, I have personally bought it","Yes, I would buy it myself",,"Build tool(s) integration, Interactive console/REPL",100
0,0,15,"Javascript","Python",,"git","My primary job is something else than programming","geany","emacs",,,"codewarrior","netbeans","vim","It supports many programming languages, It doesn't need to be configured much to be usable","Syntax highlighting, Code formatting","Advanced language intergration (eg auto-completion, refactoring, building)","It's almost the same from the stock configuration","It can be used from terminal","Directly through terminal","don't know of any easier/better ones","emacs","Yes, I have personally bought it","Yes, I would buy it myself",,"Code formatting",50
40,0,8,"ruby","common lisp",,"git","Is primarily doing programming ","Vim",,,,"Eclipse",,,"It supports many programming languages, Powerful editing functionality, There are lots of plugins available","Syntax highlighting, Debugging, Interactive console/REPL","better console integration","It is extensively configured and I have lots of third-party plugins",,"Directly through terminal","I don't feel like switching at all, Too much effort learning new editors, Too much effort configuring new editors","Emacs","No, but I tried trial versions","Yes, I would buy it myself",,"Interactive console/REPL",100
45,8,2,"Java","Racket","Camel DSL","Perforce","Is primarily doing programming ","Netbeans","Eclipse ","Notepad++","vi","e","textmate","brief","It has advanced language integration (eg auto-completion, refactoring, building), It supports many programming languages, Powerful editing functionality","Syntax highlighting, Auto-completion, Debugging","Faster start up and overall performance, Ability to use it in terminal","It is extensively configured and I have lots of third-party plugins","It supports some of the languages I use better than my primary editor, It can be used from terminal, It's faster to use for small editing","From some other application","Other editors lack some features that my editor have","Eclipse","Yes, I have personally bought it","Yes, if my employer buys it for me",,"Interactive console/REPL",50
30,10,10,"php","scala","python","git","Does programming as part of it's core activities ","vim","xcode",,,"netbeans","eclipse",,"It supports many programming languages, Powerful editing functionality, It starts up and works very fast","Syntax highlighting, Code formatting, Documentation for language or libraries inside the editor","Advanced language intergration (eg auto-completion, refactoring, building), Tools to navigate the code (go to definition, find uses)","It is extensively configured and I have lots of third-party plugins","It supports some of the languages I use better than my primary editor, It supports the build tools or building proccess that I use better","Directly through terminal","I don't feel like switching at all, Other editors lack some features that my editor have, My workflow is too integrated into my current editor","emacs","Yes, I have personally bought it","Yes, I would buy it myself",,"Auto-completion, Test integration",25
40,6,12,"javascript","php","python","git","Does programming as part of it's core activities ","phpStorm","WebStorm","Android Studio","Light Table","Netbeans","Eclipse","Visual Studio","It has advanced language integration (eg auto-completion, refactoring, building), Powerful editing functionality, It provides good tools for navigating the code (eg. go to definition, find uses)","Syntax highlighting, Refactoring, Debugging","Interactive console/REPL","It's almost the same from the stock configuration","Support for a different subset of languages.","Other","I've not found an editor with the range of features that I like to use.","Light Table","Yes, I have personally bought it","Yes, I would buy it myself",,"Test integration, Interactive console/REPL, Documentation for language or libraries inside the editor",50
32,0,10,"Ruby","Coffeescript","SASS","Git","Is primarily doing programming ","Vim",,,,"Chocolat","Textmate",,"Powerful editing functionality, It provides good tools for navigating the code (eg. go to definition, find uses), There are lots of plugins available","Syntax highlighting, Auto-completion, Test integration","Console/debugger","It is extensively configured and I have lots of third-party plugins",,"Directly through terminal","Vim is best for what I do, I've been using many text editors but Vim is where the journey ends, theres nothing further down the road for Ruby/Rails development currently","Chocolat or Sublime Text","Yes, I have personally bought it","No",,"Auto-completion, Debugging, Interactive console/REPL",50
1,2,15,"Java","Python","C","Mercurial","My primary job is something else than programming","IDEA","Sublime Text","Pyscripter",,"AVR Studio","MPLab",,"Powerful editing functionality, It provides good tools for navigating the code (eg. go to definition, find uses), It doesn't need to be configured much to be usable","Syntax highlighting, Auto-completion, Debugging","Faster start up and overall performance","There is some configuration and couple of third-party plugins","It's faster to use for small editing, advanced text editing features","From the primary editor","I don't feel like switching at all, Other editors lack some features that my editor have","Netbeans","No, never","No",,"Test integration, Documentation for language or libraries inside the editor",5
40,0,5,"java","ruby","python","svn","Is primarily doing programming ","IDEA",,,,"Eclipse","Emacs",,"It has advanced language integration (eg auto-completion, refactoring, building), Powerful editing functionality, It provides good tools for navigating the code (eg. go to definition, find uses)","Syntax highlighting, Auto-completion, Debugging","Powerful editing functionality, Faster start up and overall performance","There is some configuration and couple of third-party plugins","I use it for editing code on remote servers","Directly through terminal","I don't feel like switching at all","Eclipse","Yes, my employer bought it","Yes, if my employer buys it for me",,"Code formatting, Refactoring, Code generation",5
45,0,2,"PHP","Flex (AS3)","Java","Git","Is primarily doing programming ","Flash Builder","Sublime Text 2","Eclipse",,"Notepad++","Dreamweaver","Zend Studio","It has advanced language integration (eg auto-completion, refactoring, building), It provides good tools for navigating the code (eg. go to definition, find uses), It starts up and works very fast","Syntax highlighting, Code formatting, Debugging","Advanced language intergration (eg auto-completion, refactoring, building), Ability to use it in terminal, Integration to build tool(s) that I use","There is some configuration and couple of third-party plugins","It's faster to use for small editing","From some other application","Other editors lack some features that my editor have","Sublime Text 2","Yes, my employer bought it","Yes, if my employer buys it for me",,"Auto-completion, Refactoring, Debugging",50
0,20,15,"Ruby","Javascript",,"Git","My primary job is something else than programming","Sublime","Nitrous.io",,,,,,"It has advanced language integration (eg auto-completion, refactoring, building), It supports many programming languages, It doesn't need to be configured much to be usable","Syntax highlighting, Auto-completion","Ability to use it in terminal","It's almost the same from the stock configuration","I use it for editing code on remote servers","Directly through terminal","My workflow is too integrated into my current editor","Textmate","No, never","Yes, I would buy it myself",,"Refactoring, Debugging",50
40,0,2,"php","javascript","PL/SQL","SVN","Sometimes supports other activities with programming or IT","VIM","Sublime Text","PHPStorm",,"netbeans","notepad++",,"It has advanced language integration (eg auto-completion, refactoring, building), Powerful editing functionality, It starts up and works very fast","Syntax highlighting, Auto-completion, Refactoring","Faster start up and overall performance, Integration with version control system, Better default configuration","There is some configuration and couple of third-party plugins","It supports the build tools or building proccess that I use better","From some other application","I don't feel like switching at all","PHPSTORM","Yes, I have personally bought it","Yes, I would buy it myself",,"Syntax highlighting, Documentation for language or libraries inside the editor",100
30,5,5,"Javascript",,,"Git","Does programming as part of it's core activities ","Sublime Text",,,,"Espresso","Coda","Chocolate","Powerful editing functionality, It starts up and works very fast, It is very configurable","Syntax highlighting, Code formatting","High configurability, though very tedious to extensively customize","It is extensively configured and I have lots of third-party plugins",,"Directly through terminal","Other editors lack some features that my editor have","Chocolate","Yes, I have personally bought it","Yes, I would buy it myself",,"Documentation for language or libraries inside the editor",50
5,20,10,"Python","JavaScript ","PHP","Git/github","I am a student or unemployed","Sublime Text 2","Visual studio ",,,"Eclipse","Netbeans","Notepad+","Powerful editing functionality, There are lots of plugins available, It starts up and works very fast","Syntax highlighting","Advanced language intergration (eg auto-completion, refactoring, building), Tools to navigate the code (go to definition, find uses), Integration with version control system","There is some configuration and couple of third-party plugins","It supports some of the languages I use better than my primary editor, It supports the build tools or building proccess that I use better","Directly through terminal","I don't feel like switching at all, Too much effort learning new editors, Too much effort configuring new editors","Idea","No, but I tried trial versions","Yes, I would buy it myself",,"Refactoring, Test integration, Build tool(s) integration",25
0,1,3,"java","scala","objective c","git","I am a student or unemployed","IDEA","Sublime Text","Xcode",,,,,"It has advanced language integration (eg auto-completion, refactoring, building), Powerful editing functionality, It intergrates with version control system","Syntax highlighting, Auto-completion, Code formatting","Better default configuration","There is some configuration and couple of third-party plugins","It's faster to use for small editing","Directly through terminal","Other editors lack some features that my editor have, Too much effort learning new editors","Eclipse","Yes, I have personally bought it","Yes, I would buy it myself",,"Auto-completion, Debugging",100
5,8,4,"ruby","mathscript","javascript","git","I am a student or unemployed","Vim",,,,"Emacs","Sublime Text","Visual Studio","Powerful editing functionality, There are lots of plugins available, It can be used in terminal","Syntax highlighting, Code formatting","Advanced language intergration (eg auto-completion, refactoring, building), Tools to navigate the code (go to definition, find uses)","It is extensively configured and I have lots of third-party plugins","It supports some of the languages I use better than my primary editor","Directly through terminal","Other editors lack some features that my editor have, My workflow is too integrated into my current editor","Emacs","Yes, my employer bought it","Yes, if my employer buys it for me",,"Auto-completion, Code formatting, Documentation for language or libraries inside the editor",100
35,1,10,"JavaScript","PHP","CSS3","git","Is primarily doing programming ","Sublime Text 2","Coda 2","nano",,"Intype","Notepad++","Notepd++","It has advanced language integration (eg auto-completion, refactoring, building), It starts up and works very fast, It is very configurable","Syntax highlighting, Auto-completion, Interactive console/REPL","Ability to use it in terminal, SSH/FTP integration","There is some configuration and couple of third-party plugins","I use it for editing code on remote servers","Directly through terminal","Other editors lack some features that my editor have, Too much effort configuring new editors","Coda 2","Yes, my employer bought it","No",,"Code formatting, Interactive console/REPL",100
40,2,1,"C#","Javascript","SQL","Git","Does programming as part of it's core activities ","vim","Visual Studio",,,"IntelliJ Idea","Net Beans",,"Powerful editing functionality, There are lots of plugins available, It can be used in terminal","Syntax highlighting, Auto-completion, Build tool(s) integration","Tools to navigate the code (go to definition, find uses), Integration to build tool(s) that I use","It is extensively configured and I have lots of third-party plugins","It supports some of the languages I use better than my primary editor, It supports the build tools or building proccess that I use better","Directly through terminal","Other editors don't support my languages of choice very well, Other editors lack some features that my editor have","IntelliJ Idea","Yes, I have personally bought it","Yes, I would buy it myself",,"Auto-completion, Code formatting, Build tool(s) integration",100
